material,historical_price,location,month,demand,supply,predicted_price
copper,791.64,Kolkata,7,76,37,794.1
copper,580.69,Kolkata,8,53,95,417.21
copper,703.75,Kolkata,9,72,71,544.51
copper,717.17,Kolkata,10,60,64,655.46
copper,814.73,Kolkata,11,51,64,763.99
copper,564.81,Kolkata,12,44,70,621.88
copper,824.24,Chennai,1,93,53,701.87
copper,821.71,Chennai,2,52,31,712.67
copper,772.83,Chennai,3,68,39,690.24
copper,731.12,Chennai,4,75,77,755.51
copper,812.3,Chennai,5,92,84,801.68
copper,870.63,Chennai,6,94,46,959.68
copper,747.07,Chennai,7,68,56,805.89
copper,911.52,Chennai,8,93,52,918.3
copper,748.49,Chennai,9,72,66,660.44
copper,722.7,Chennai,10,46,41,658.15
copper,736.63,Chennai,11,94,100,837.3
copper,731.62,Chennai,12,86,93,830.55
copper,741.78,Hyderabad,1,63,52,550.91
copper,737.46,Hyderabad,2,60,56,638.39
copper,689.08,Hyderabad,3,58,48,570.72
copper,775.22,Hyderabad,4,36,38,670.28
copper,913.29,Hyderabad,5,80,42,868.51
copper,760.32,Hyderabad,6,52,52,750.85
copper,723.81,Hyderabad,7,65,65,714.14
copper,714.91,Hyderabad,8,45,46,666.17
copper,891.92,Hyderabad,9,94,38,821.75
copper,717.54,Hyderabad,10,81,71,672.78
copper,548.98,Hyderabad,11,36,80,537.02
copper,832.43,Hyderabad,12,61,38,887.33
aluminium,232.19,Delhi,1,94,51,211.11
aluminium,154.21,Delhi,2,54,97,113.72
aluminium,218.18,Delhi,3,65,31,214.21
aluminium,233.5,Delhi,4,86,37,245.21
aluminium,166.87,Delhi,5,35,98,140.45
aluminium,173.56,Delhi,6,80,87,192.99
aluminium,253.25,Delhi,7,86,31,263.52
aluminium,140.21,Delhi,8,50,86,135.47
aluminium,190.52,Delhi,9,81,73,175.9
aluminium,144.53,Delhi,10,41,76,126.93
aluminium,196.98,Delhi,11,67,47,216.61
aluminium,228.59,Delhi,12,86,87,236.16
aluminium,188.99,Mumbai,1,64,72,177.34
aluminium,190.92,Mumbai,2,54,52,186.3
aluminium,215.42,Mumbai,3,71,41,221.63
aluminium,213.03,Mumbai,4,62,38,226.03
aluminium,193.37,Mumbai,5,46,42,218.9
aluminium,193.22,Mumbai,6,66,78,221.88
aluminium,225.15,Mumbai,7,95,65,247.0
aluminium,223.32,Mumbai,8,67,33,257.86
aluminium,203.13,Mumbai,9,74,70,194.87
aluminium,180.57,Mumbai,10,35,56,172.04
aluminium,164.97,Mumbai,11,40,89,183.06
aluminium,247.9,Mumbai,12,77,37,296.52
aluminium,141.28,Bengaluru,1,49,99,89.62
aluminium,179.65,Bengaluru,2,73,75,149.55
aluminium,201.41,Bengaluru,3,85,68,198.47
aluminium,203.98,Bengaluru,4,85,62,203.66
aluminium,185.25,Bengaluru,5,50,48,172.53
aluminium,198.26,Bengaluru,6,45,59,183.96
aluminium,192.87,Bengaluru,7,65,56,196.5
aluminium,159.64,Bengaluru,8,46,78,152.28
aluminium,190.0,Bengaluru,9,75,95,167.71
aluminium,203.32,Bengaluru,10,63,68,187.87
aluminium,157.73,Bengaluru,11,47,87,158.71
aluminium,192.82,Bengaluru,12,39,50,195.86
aluminium,170.89,Kolkata,1,71,79,131.4
aluminium,228.57,Kolkata,2,73,36,198.61
aluminium,159.6,Kolkata,3,66,96,114.65
aluminium,170.72,Kolkata,4,45,86,139.44
aluminium,181.24,Kolkata,5,95,86,184.19
aluminium,186.92,Kolkata,6,79,71,198.99
aluminium,170.72,Kolkata,7,42,70,133.1
aluminium,192.13,Kolkata,8,76,67,181.05
aluminium,160.87,Kolkata,9,66,64,138.01
aluminium,205.02,Kolkata,10,86,38,220.19
aluminium,188.08,Kolkata,11,64,76,179.85
aluminium,178.18,Kolkata,12,47,77,180.14
aluminium,187.14,Chennai,1,84,84,143.18
aluminium,195.63,Chennai,2,67,52,176.51
aluminium,134.9,Chennai,3,40,96,105.04
aluminium,151.56,Chennai,4,42,81,129.94
aluminium,179.5,Chennai,5,57,85,172.24
aluminium,182.4,Chennai,6,74,100,194.68
aluminium,233.5,Chennai,7,60,38,230.87
aluminium,206.98,Chennai,8,42,38,190.1
aluminium,231.46,Chennai,9,68,30,205.43
aluminium,179.82,Chennai,10,61,50,176.64
aluminium,183.47,Chennai,11,35,51,192.55
aluminium,194.41,Chennai,12,68,37,237.51
aluminium,205.5,Hyderabad,1,76,50,172.04
aluminium,156.21,Hyderabad,2,75,100,120.48
aluminium,215.16,Hyderabad,3,73,36,204.43
aluminium,184.35,Hyderabad,4,50,47,173.27
aluminium,216.01,Hyderabad,5,84,44,229.75
aluminium,236.69,Hyderabad,6,90,32,266.37
aluminium,183.2,Hyderabad,7,85,73,177.94
aluminium,150.37,Hyderabad,8,52,90,134.92
aluminium,184.64,Hyderabad,9,94,95,171.63
aluminium,181.95,Hyderabad,10,85,89,180.82
aluminium,175.9,Hyderabad,11,68,74,180.48
aluminium,183.34,Hyderabad,12,84,82,203.94
pcb,246.8,Delhi,1,41,80,156.8
pcb,282.77,Delhi,2,66,33,275.12
pcb,191.66,Delhi,3,48,92,178.96
pcb,281.71,Delhi,4,57,36,277.08
pcb,289.04,Delhi,5,71,62,299.84
pcb,301.65,Delhi,6,88,70,349.9
pcb,267.86,Delhi,7,68,51,307.68
pcb,258.01,Delhi,8,50,76,242.29
pcb,268.66,Delhi,9,63,66,271.05
pcb,269.59,Delhi,10,42,38,268.99
pcb,245.26,Delhi,11,40,51,275.65
pcb,264.12,Delhi,12,59,75,287.49
pcb,284.64,Mumbai,1,86,45,269.57
pcb,337.74,Mumbai,2,91,32,367.46
pcb,253.32,Mumbai,3,44,46,260.12
pcb,262.91,Mumbai,4,70,79,277.49
pcb,298.15,Mumbai,5,72,52,347.39
pcb,265.85,Mumbai,6,47,60,332.57
pcb,335.1,Mumbai,7,93,66,366.38
pcb,218.64,Mumbai,8,42,95,208.81
pcb,242.79,Mumbai,9,51,86,214.94
pcb,278.3,Mumbai,10,58,65,292.34
pcb,285.69,Mumbai,11,87,89,324.51
pcb,299.5,Mumbai,12,69,53,374.39
pcb,206.5,Bengaluru,1,39,82,117.0
pcb,267.31,Bengaluru,2,78,90,224.74
pcb,212.93,Bengaluru,3,49,72,150.21
pcb,266.89,Bengaluru,4,65,98,232.23
pcb,281.61,Bengaluru,5,60,52,264.64
pcb,297.49,Bengaluru,6,80,57,321.33
pcb,308.18,Bengaluru,7,76,44,327.47
pcb,319.68,Bengaluru,8,78,41,334.17
pcb,274.64,Bengaluru,9,93,69,279.92
pcb,323.64,Bengaluru,10,74,40,309.44
pcb,290.45,Bengaluru,11,55,35,315.54
pcb,267.16,Bengaluru,12,64,63,289.48
pcb,213.52,Kolkata,1,49,94,117.0
pcb,238.18,Kolkata,2,46,50,199.82
pcb,259.46,Kolkata,3,79,65,213.35
pcb,259.08,Kolkata,4,86,89,234.01
pcb,239.75,Kolkata,5,59,77,227.28
pcb,300.98,Kolkata,6,79,56,319.57
pcb,271.56,Kolkata,7,91,89,267.21
pcb,243.62,Kolkata,8,77,90,214.27
pcb,220.84,Kolkata,9,53,71,167.02
pcb,256.31,Kolkata,10,70,65,228.21
pcb,242.23,Kolkata,11,36,58,236.47
pcb,296.08,Kolkata,12,58,42,324.94
pcb,264.53,Chennai,1,50,31,230.19
pcb,247.38,Chennai,2,60,51,221.79
pcb,260.73,Chennai,3,60,49,249.98
pcb,264.22,Chennai,4,78,99,257.43
pcb,286.91,Chennai,5,95,84,271.02
pcb,218.08,Chennai,6,52,98,210.93
pcb,295.77,Chennai,7,39,38,275.69
pcb,276.29,Chennai,8,74,69,288.68
pcb,208.16,Chennai,9,41,99,181.24
pcb,272.0,Chennai,10,94,83,255.22
pcb,285.12,Chennai,11,53,32,309.99
pcb,264.69,Chennai,12,88,99,278.25
pcb,232.59,Hyderabad,1,49,59,184.29
pcb,223.5,Hyderabad,2,48,69,177.15
pcb,238.87,Hyderabad,3,62,88,173.84
pcb,314.54,Hyderabad,4,93,33,328.43
pcb,272.31,Hyderabad,5,81,80,258.92
pcb,275.72,Hyderabad,6,80,82,286.36
pcb,337.49,Hyderabad,7,90,46,337.02
pcb,298.23,Hyderabad,8,62,30,282.77
pcb,287.13,Hyderabad,9,67,32,265.93
pcb,240.13,Hyderabad,10,72,77,199.37
pcb,319.22,Hyderabad,11,66,54,313.99
pcb,272.64,Hyderabad,12,78,71,300.7
battery,79.91,Delhi,1,68,92,67.5
battery,96.97,Delhi,2,76,54,97.44
battery,85.48,Delhi,3,67,100,75.71
battery,113.07,Delhi,4,67,39,109.39
battery,88.27,Delhi,5,38,57,100.74
battery,115.46,Delhi,6,55,39,120.91
battery,105.31,Delhi,7,56,44,109.03
battery,112.86,Delhi,8,93,75,113.66
battery,93.27,Delhi,9,89,98,85.85
battery,116.97,Delhi,10,94,50,117.68
battery,109.72,Delhi,11,69,53,120.62
battery,111.2,Delhi,12,95,82,130.99
battery,83.18,Mumbai,1,36,51,78.44
battery,112.92,Mumbai,2,45,41,106.05
battery,84.91,Mumbai,3,50,86,85.48
battery,118.99,Mumbai,4,87,63,124.76
battery,84.34,Mumbai,5,50,87,90.9
battery,115.9,Mumbai,6,63,43,140.66
battery,93.66,Mumbai,7,61,76,106.48
battery,120.85,Mumbai,8,92,60,121.0
battery,114.32,Mumbai,9,80,37,113.65
battery,110.6,Mumbai,10,69,34,123.38
battery,115.76,Mumbai,11,83,52,133.85
battery,117.34,Mumbai,12,73,57,135.99
battery,103.31,Bengaluru,1,62,44,85.24
battery,90.0,Bengaluru,2,49,59,78.3
battery,83.64,Bengaluru,3,60,91,70.82
battery,82.03,Bengaluru,4,51,64,84.09
battery,84.96,Bengaluru,5,68,85,87.87
battery,82.83,Bengaluru,6,48,52,89.06
battery,109.5,Bengaluru,7,87,78,112.53
battery,72.48,Bengaluru,8,50,96,61.19
battery,98.69,Bengaluru,9,87,80,95.21
battery,102.98,Bengaluru,10,54,39,102.53
battery,123.72,Bengaluru,11,91,43,129.93
battery,106.86,Bengaluru,12,78,74,124.37
battery,72.69,Kolkata,1,49,71,51.66
battery,88.92,Kolkata,2,52,90,64.46
battery,90.41,Kolkata,3,89,84,82.91
battery,71.97,Kolkata,4,50,95,70.16
battery,97.92,Kolkata,5,90,99,90.89
battery,95.8,Kolkata,6,44,52,99.24
battery,101.34,Kolkata,7,53,45,103.13
battery,117.02,Kolkata,8,85,35,109.54
battery,99.91,Kolkata,9,58,31,87.89
battery,106.82,Kolkata,10,86,80,104.36
battery,84.74,Kolkata,11,42,93,78.42
battery,108.75,Kolkata,12,82,40,128.57
battery,94.09,Chennai,1,83,66,83.43
battery,130.98,Chennai,2,91,31,127.94
battery,104.66,Chennai,3,58,39,100.96
battery,87.99,Chennai,4,60,68,88.22
battery,110.6,Chennai,5,79,33,126.62
battery,80.28,Chennai,6,55,77,90.89
battery,90.44,Chennai,7,38,72,91.97
battery,108.72,Chennai,8,86,48,111.02
battery,102.18,Chennai,9,67,58,102.36
battery,101.36,Chennai,10,81,70,97.98
battery,93.68,Chennai,11,44,59,100.06
battery,82.14,Chennai,12,37,86,87.53
battery,117.31,Hyderabad,1,92,36,102.84
battery,82.19,Hyderabad,2,44,78,56.39
battery,105.15,Hyderabad,3,51,42,88.36
battery,81.46,Hyderabad,4,55,63,80.28
battery,103.14,Hyderabad,5,74,56,112.37
battery,96.97,Hyderabad,6,74,81,108.72
battery,103.67,Hyderabad,7,62,37,105.7
battery,93.97,Hyderabad,8,87,86,97.85
battery,84.67,Hyderabad,9,61,82,81.1
battery,121.83,Hyderabad,10,95,56,119.27
battery,105.67,Hyderabad,11,73,58,127.08
battery,93.6,Hyderabad,12,69,71,111.06
plastic,33.06,Delhi,1,70,96,28.93
plastic,38.86,Delhi,2,55,56,35.72
plastic,41.82,Delhi,3,55,41,38.15
plastic,27.75,Delhi,4,36,97,23.93
plastic,36.75,Delhi,5,63,83,38.08
plastic,40.25,Delhi,6,64,44,47.53
plastic,35.25,Delhi,7,38,63,37.79
plastic,36.01,Delhi,8,35,64,35.09
plastic,36.36,Delhi,9,76,65,38.23
plastic,37.49,Delhi,10,43,50,38.48
plastic,40.26,Delhi,11,82,94,43.02
plastic,31.46,Delhi,12,56,97,38.61
plastic,45.4,Mumbai,1,92,51,41.29
plastic,36.79,Mumbai,2,84,90,36.22
plastic,44.24,Mumbai,3,66,41,46.58
plastic,31.11,Mumbai,4,41,90,31.14
plastic,42.52,Mumbai,5,80,51,52.03
plastic,34.0,Mumbai,6,41,83,42.42
plastic,41.47,Mumbai,7,71,96,44.03
plastic,47.95,Mumbai,8,79,37,51.97
plastic,46.04,Mumbai,9,72,42,49.83
plastic,42.09,Mumbai,10,46,47,46.74
plastic,35.46,Mumbai,11,70,92,44.31
plastic,42.96,Mumbai,12,78,47,55.84
plastic,29.07,Bengaluru,1,37,96,17.79
plastic,40.32,Bengaluru,2,55,66,33.32
plastic,36.06,Bengaluru,3,58,68,33.64
plastic,42.1,Bengaluru,4,56,38,44.56
plastic,37.64,Bengaluru,5,85,97,40.31
plastic,47.64,Bengaluru,6,93,44,56.3
plastic,42.34,Bengaluru,7,58,38,46.77
plastic,44.14,Bengaluru,8,90,73,44.82
plastic,38.99,Bengaluru,9,67,67,31.57
plastic,23.36,Bengaluru,10,43,88,20.95
plastic,48.32,Bengaluru,11,86,40,52.63
plastic,48.72,Bengaluru,12,69,33,54.85
plastic,36.9,Kolkata,1,75,74,29.9
plastic,43.81,Kolkata,2,85,45,38.55
plastic,33.83,Kolkata,3,52,75,26.41
plastic,36.26,Kolkata,4,52,49,37.03
plastic,44.81,Kolkata,5,83,39,47.94
plastic,41.2,Kolkata,6,65,57,42.08
plastic,37.48,Kolkata,7,60,81,35.18
plastic,39.36,Kolkata,8,75,72,38.54
plastic,39.95,Kolkata,9,67,54,38.07
plastic,39.91,Kolkata,10,95,90,36.28
plastic,31.61,Kolkata,11,52,93,31.38
plastic,40.91,Kolkata,12,45,51,46.99
plastic,37.13,Chennai,1,79,82,32.3
plastic,32.76,Chennai,2,44,81,27.04
plastic,37.65,Chennai,3,55,59,34.76
plastic,43.59,Chennai,4,77,58,44.89
plastic,49.26,Chennai,5,85,36,53.5
plastic,41.0,Chennai,6,79,77,43.88
plastic,45.04,Chennai,7,84,44,47.73
plastic,42.17,Chennai,8,80,47,45.77
plastic,44.39,Chennai,9,88,49,46.63
plastic,35.72,Chennai,10,52,77,35.37
plastic,39.24,Chennai,11,93,68,47.2
plastic,39.77,Chennai,12,70,73,46.78
plastic,37.12,Hyderabad,1,38,52,28.18
plastic,35.98,Hyderabad,2,61,78,28.62
plastic,37.74,Hyderabad,3,77,92,32.44
plastic,32.09,Hyderabad,4,45,96,25.94
plastic,43.35,Hyderabad,5,87,68,45.56
plastic,42.23,Hyderabad,6,84,53,47.39
plastic,35.9,Hyderabad,7,93,95,39.38
plastic,30.64,Hyderabad,8,36,82,27.29
plastic,30.87,Hyderabad,9,41,64,30.19
plastic,38.56,Hyderabad,10,71,75,37.51
plastic,37.34,Hyderabad,11,63,71,43.01
plastic,40.01,Hyderabad,12,75,87,43.08
steel,64.56,Delhi,1,57,30,60.92
steel,51.16,Delhi,2,43,89,40.77
steel,71.42,Delhi,3,71,38,68.31
steel,66.75,Delhi,4,52,43,72.3
steel,58.95,Delhi,5,59,73,67.6
steel,75.6,Delhi,6,73,34,88.81
steel,64.9,Delhi,7,50,49,68.55
steel,64.73,Delhi,8,62,37,72.52
steel,56.71,Delhi,9,44,60,54.0
steel,58.1,Delhi,10,52,78,55.09
steel,48.96,Delhi,11,36,100,55.72
steel,68.46,Delhi,12,76,81,82.42
steel,63.8,Mumbai,1,53,62,58.51
steel,55.45,Mumbai,2,57,77,55.58
steel,59.03,Mumbai,3,76,89,65.02
steel,73.25,Mumbai,4,59,52,76.07
steel,60.3,Mumbai,5,45,64,67.79
steel,65.39,Mumbai,6,69,92,73.28
steel,59.08,Mumbai,7,53,67,69.22
steel,66.99,Mumbai,8,48,30,74.12
steel,65.34,Mumbai,9,41,32,73.12
steel,68.38,Mumbai,10,55,41,69.24
steel,56.5,Mumbai,11,51,88,63.88
steel,66.09,Mumbai,12,37,36,85.49
steel,66.79,Bengaluru,1,70,48,57.24
steel,64.15,Bengaluru,2,67,83,45.99
steel,63.83,Bengaluru,3,60,45,61.58
steel,80.0,Bengaluru,4,93,38,82.35
steel,66.91,Bengaluru,5,44,42,68.43
steel,59.1,Bengaluru,6,77,100,61.75
steel,59.38,Bengaluru,7,45,61,60.08
steel,51.89,Bengaluru,8,93,99,51.26
steel,68.01,Bengaluru,9,72,45,65.94
steel,51.18,Bengaluru,10,50,82,46.21
steel,63.22,Bengaluru,11,58,88,62.75
steel,69.48,Bengaluru,12,67,33,78.23
steel,62.16,Kolkata,1,72,48,51.93
steel,46.34,Kolkata,2,41,88,32.64
steel,71.06,Kolkata,3,81,49,63.03
steel,56.69,Kolkata,4,62,70,55.55
steel,63.43,Kolkata,5,57,30,67.02
steel,67.14,Kolkata,6,82,75,70.51
steel,59.72,Kolkata,7,40,63,55.13
steel,75.93,Kolkata,8,63,34,77.71
steel,62.43,Kolkata,9,63,43,62.89
steel,70.84,Kolkata,10,89,37,72.91
steel,68.62,Kolkata,11,66,42,72.64
steel,58.36,Kolkata,12,45,52,63.15
steel,65.82,Chennai,1,67,55,58.91
steel,65.39,Chennai,2,60,44,58.44
steel,68.52,Chennai,3,77,37,65.97
steel,56.56,Chennai,4,63,73,61.52
steel,71.64,Chennai,5,93,83,76.39
steel,47.07,Chennai,6,43,100,51.68
steel,57.47,Chennai,7,38,52,62.14
steel,62.24,Chennai,8,90,87,61.36
steel,60.26,Chennai,9,54,65,56.77
steel,67.01,Chennai,10,83,71,70.4
steel,71.1,Chennai,11,48,43,79.88
steel,62.1,Chennai,12,36,71,65.34
steel,60.86,Hyderabad,1,61,60,47.1
steel,57.06,Hyderabad,2,83,96,43.42
steel,64.28,Hyderabad,3,51,62,52.98
steel,53.51,Hyderabad,4,52,76,48.32
steel,73.85,Hyderabad,5,94,54,84.06
steel,69.74,Hyderabad,6,53,41,74.25
steel,72.81,Hyderabad,7,87,45,78.6
steel,64.03,Hyderabad,8,67,48,66.7
steel,57.23,Hyderabad,9,46,72,52.32
steel,55.31,Hyderabad,10,75,97,53.28
steel,69.13,Hyderabad,11,91,71,74.61
steel,69.33,Hyderabad,12,92,78,78.43
pcb,318.15,Chennai,2,86,47,292.54
pcb,302.58,Kolkata,10,92,53,319.19
steel,52.05,Kolkata,1,51,77,30.21
copper,557.97,Mumbai,7,49,98,574.35
steel,52.86,Mumbai,12,71,98,71.52
steel,48.14,Kolkata,6,49,70,50.49
steel,64.68,Bengaluru,12,57,39,79.64
pcb,274.58,Mumbai,11,39,50,329.42
copper,822.55,Delhi,12,66,65,878.57
pcb,213.29,Kolkata,9,41,56,180.5
battery,86.68,Bengaluru,12,66,96,100.09
aluminium,203.94,Bengaluru,5,46,36,204.69
aluminium,238.58,Chennai,5,94,47,275.21
copper,727.77,Hyderabad,8,56,60,664.73
aluminium,215.45,Kolkata,5,95,63,211.12
steel,53.83,Kolkata,4,66,94,50.04
plastic,41.52,Hyderabad,11,42,50,43.43
copper,564.26,Chennai,7,39,95,503.49
plastic,40.25,Bengaluru,12,38,42,44.8
steel,54.3,Kolkata,4,47,98,47.36
copper,912.25,Chennai,7,85,39,905.38
steel,63.72,Kolkata,2,91,86,54.37
steel,59.93,Hyderabad,3,94,61,61.23
plastic,38.06,Hyderabad,5,52,55,41.18
plastic,38.42,Delhi,7,82,81,45.54
pcb,243.45,Delhi,1,54,41,235.0
plastic,35.9,Mumbai,5,66,77,44.59
steel,61.44,Kolkata,1,56,40,48.13
copper,856.29,Kolkata,5,90,48,881.76
battery,91.31,Kolkata,10,87,73,96.97
copper,686.77,Bengaluru,2,40,63,541.45
aluminium,162.9,Hyderabad,5,54,84,155.17
battery,118.48,Mumbai,3,74,42,126.59
plastic,46.26,Chennai,9,90,41,46.29
plastic,38.85,Delhi,8,65,67,39.58
battery,100.16,Mumbai,12,41,64,114.38
steel,69.39,Delhi,9,71,47,70.67
aluminium,163.56,Kolkata,12,36,63,165.14
plastic,39.14,Delhi,10,85,81,44.08
battery,80.15,Bengaluru,8,46,90,78.59
pcb,223.15,Kolkata,10,75,96,204.46
steel,54.76,Kolkata,10,57,65,48.67
battery,119.04,Mumbai,8,80,54,127.2
copper,600.08,Delhi,9,48,93,559.0
copper,716.52,Hyderabad,10,44,50,653.37
aluminium,206.64,Mumbai,11,79,83,225.91
plastic,35.59,Bengaluru,10,64,86,33.2
copper,698.63,Bengaluru,2,78,69,588.44
pcb,285.05,Bengaluru,3,82,71,245.15
plastic,41.86,Bengaluru,10,51,47,41.3
aluminium,171.67,Bengaluru,5,58,81,182.5
aluminium,216.24,Mumbai,4,57,39,233.84
steel,56.35,Bengaluru,11,49,68,65.21
plastic,26.71,Kolkata,8,36,91,18.11
pcb,306.57,Hyderabad,10,90,65,307.23
plastic,40.35,Chennai,1,70,63,35.55
pcb,282.93,Kolkata,10,68,75,233.73
steel,49.3,Mumbai,10,39,90,55.28
copper,741.16,Hyderabad,2,54,39,656.64
pcb,260.74,Kolkata,12,61,54,294.9
aluminium,159.78,Mumbai,3,46,83,146.82
copper,595.36,Delhi,11,35,78,642.49
aluminium,162.99,Chennai,12,51,95,168.21
steel,63.24,Hyderabad,10,60,46,59.98
battery,83.18,Mumbai,1,61,100,68.28
pcb,251.16,Kolkata,10,70,56,227.77
plastic,42.84,Delhi,7,69,55,48.94
steel,58.28,Hyderabad,7,79,87,60.14
pcb,256.05,Chennai,2,57,46,223.63
aluminium,180.89,Bengaluru,6,80,91,185.13
copper,673.73,Hyderabad,2,60,76,558.32
pcb,231.69,Hyderabad,9,40,83,187.93
copper,738.66,Mumbai,3,46,58,702.96
pcb,265.67,Mumbai,11,67,86,297.04
copper,811.54,Mumbai,4,43,31,928.74
steel,65.46,Bengaluru,11,73,58,75.69
plastic,45.82,Kolkata,6,82,41,52.59
aluminium,196.11,Mumbai,11,39,46,229.94
battery,100.97,Mumbai,2,72,68,99.58
plastic,36.19,Delhi,12,41,81,40.8
aluminium,200.95,Kolkata,12,80,33,243.05
plastic,35.57,Hyderabad,3,53,65,33.98
steel,63.65,Bengaluru,10,83,98,61.78
steel,54.85,Mumbai,9,50,67,58.41
pcb,282.57,Hyderabad,1,79,87,191.96
steel,70.64,Bengaluru,8,75,63,67.31
battery,114.42,Bengaluru,8,88,36,120.5
aluminium,173.33,Kolkata,12,64,92,176.08
aluminium,194.21,Bengaluru,3,71,50,180.49
battery,96.46,Bengaluru,3,90,80,97.78
pcb,243.44,Delhi,6,56,88,254.71
steel,74.26,Bengaluru,12,87,33,86.91
aluminium,223.6,Chennai,9,89,51,212.12
aluminium,220.18,Chennai,3,83,46,203.45
pcb,283.86,Chennai,2,73,56,274.67
plastic,36.34,Delhi,6,38,75,38.6
steel,51.03,Chennai,1,56,98,34.35
battery,92.22,Mumbai,11,76,95,112.15
aluminium,180.11,Mumbai,2,40,43,185.28
copper,657.39,Delhi,1,36,39,508.33
copper,757.77,Chennai,1,73,59,611.52
steel,64.73,Hyderabad,9,60,61,53.8
copper,759.71,Mumbai,6,83,85,921.66
aluminium,220.78,Chennai,11,77,53,232.28
steel,79.24,Delhi,11,81,44,87.5
aluminium,171.94,Kolkata,11,41,50,183.61
pcb,254.76,Kolkata,4,72,61,243.44
battery,94.77,Mumbai,9,72,77,93.26
plastic,39.11,Bengaluru,1,59,60,30.25
copper,831.27,Chennai,9,82,46,785.1
copper,792.96,Chennai,12,63,68,863.76
pcb,279.07,Hyderabad,6,93,67,326.18
copper,677.51,Delhi,5,66,77,726.15
pcb,233.03,Kolkata,6,94,98,255.47
pcb,240.62,Mumbai,2,40,71,206.17
copper,834.17,Kolkata,9,78,32,764.99
copper,718.57,Hyderabad,12,45,58,741.32
battery,78.6,Mumbai,5,52,83,93.16
steel,57.67,Kolkata,2,81,64,46.66
steel,66.12,Chennai,4,56,47,65.59
plastic,45.99,Hyderabad,1,95,37,38.85
battery,106.19,Bengaluru,12,54,44,115.69
aluminium,204.19,Mumbai,12,61,47,248.72
steel,69.47,Kolkata,10,93,49,73.24
copper,683.94,Kolkata,3,65,70,612.7
battery,100.93,Chennai,5,60,53,110.36
battery,109.65,Hyderabad,12,62,33,120.26
aluminium,219.58,Mumbai,1,94,52,213.75
steel,63.27,Mumbai,9,38,30,66.19
copper,686.09,Delhi,11,41,41,788.21
plastic,35.63,Bengaluru,5,39,62,36.24
plastic,33.11,Kolkata,3,71,94,29.08
steel,71.42,Mumbai,10,75,40,78.47
plastic,45.97,Hyderabad,6,69,51,51.22
plastic,38.13,Mumbai,9,37,37,40.22
pcb,258.31,Mumbai,6,68,75,307.4
battery,110.48,Chennai,3,78,33,107.77
copper,727.76,Chennai,3,45,33,622.2
copper,691.02,Bengaluru,1,45,39,568.48
plastic,46.02,Kolkata,12,67,31,50.21
battery,103.35,Delhi,11,81,80,111.99
steel,69.76,Mumbai,7,83,35,90.15
steel,57.9,Kolkata,6,60,75,56.49
battery,82.14,Chennai,1,77,81,75.03
plastic,29.68,Kolkata,7,54,95,30.28
steel,62.82,Hyderabad,3,57,45,56.38
battery,76.92,Chennai,2,48,97,53.61
steel,57.52,Chennai,3,70,73,56.46
copper,746.73,Chennai,8,95,68,753.07
copper,862.31,Hyderabad,5,53,35,822.69
copper,851.6,Mumbai,7,55,31,898.61
steel,60.5,Delhi,6,83,97,67.36
pcb,269.4,Hyderabad,9,64,50,234.75
copper,773.07,Delhi,1,68,50,637.82
plastic,41.88,Bengaluru,7,66,49,47.69
aluminium,161.12,Mumbai,5,55,76,184.39
pcb,281.89,Mumbai,5,62,52,316.46
